Seed, Maze Type, Resolution, Solving Time, Solving Path Percentage, Solving Path Length, Tried Nodes, 1 Branches, 2 Branches, 3 Branches, 4 Branches,2 Length Corridor,3 Length Corridor,4 Length Corridor,5 Length Corridor,6 Length Corridor,7 Length Corridor,8 Length Corridor,9 Length Corridor,10 Length Corridor,11 Length Corridor,12 Length Corridor,13 Length Corridor,14 Length Corridor,15 Length Corridor,16 Length Corridor,17 Length Corridor,18 Length Corridor,19 Length Corridor,20 Length Corridor,21 Length Corridor,22 Length Corridor,23 Length Corridor,24 Length Corridor,25 Length Corridor,26 Length Corridor,27 Length Corridor,28 Length Corridor,29 Length Corridor,30 Length Corridor,31 Length Corridor,32 Length Corridor,33 Length Corridor,34 Length Corridor,35 Length Corridor,36 Length Corridor,37 Length Corridor,38 Length Corridor,39 Length Corridor,40 Length Corridor,41 Length Corridor,42 Length Corridor,43 Length Corridor,44 Length Corridor,45 Length Corridor,46 Length Corridor,47 Length Corridor,48 Length Corridor,49 Length Corridor,50 Length Corridor,51 Length Corridor,52 Length Corridor,53 Length Corridor,54 Length Corridor,55 Length Corridor,56 Length Corridor,57 Length Corridor,58 Length Corridor,59 Length Corridor,60 Length Corridor,61 Length Corridor,62 Length Corridor,63 Length Corridor,64 Length Corridor
145779758,RecursiveDivision,32x32,6.327152,23.26454%,124,533,0.8789063%,24.02344%,55.66406%,19.43359%,52.8109%,32.02726%,8.688246%,3.918228%,1.192504%,0.5110732%,0.5110732%,0.1703577%,0%,0.1703577%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
231561346,RecursiveDivision,32x32,3.569841,10.16548%,86,846,0.4882813%,25.78125%,53.32031%,20.41016%,59.93432%,23.48112%,11.16585%,2.955665%,1.149425%,0.4926108%,0.4926108%,0%,0%,0%,0.3284072%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
271979494,RecursiveDivision,32x32,3.355742,14.62206%,118,807,0.78125%,24.02344%,55.95703%,19.23828%,57.33788%,25.08532%,10.23891%,3.754266%,1.535836%,1.023891%,0.8532423%,0%,0.1706485%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
140862497,RecursiveDivision,32x32,3.529787,12.28501%,100,814,1.171875%,26.36719%,50.09766%,22.36328%,57.69231%,24.91639%,10.70234%,4.347826%,1.505017%,0.3344482%,0.1672241%,0%,0.1672241%,0%,0.1672241%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
57716418,RecursiveDivision,32x32,2.92635,27.82152%,106,381,1.171875%,25%,52.83203%,20.99609%,58.13953%,22.75747%,13.28904%,3.820598%,1.162791%,0.4983389%,0.3322259%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
185350078,RecursiveDivision,32x32,1.29199,38.62928%,124,321,0.390625%,25.68359%,53.80859%,20.11719%,58.86403%,21.1704%,12.04819%,3.786575%,2.753873%,0.8605852%,0%,0.3442341%,0%,0%,0.172117%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
322001721,RecursiveDivision,32x32,4.208088,20.97489%,142,677,0.78125%,26.07422%,51.85547%,21.28906%,56.37931%,25.17241%,11.03448%,4.482759%,1.37931%,0.6896552%,0%,0.1724138%,0.6896552%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
346405934,RecursiveDivision,32x32,4.359007,12.77533%,116,908,0.78125%,23.24219%,57.51953%,18.45703%,54.46735%,26.80412%,11.34021%,4.639175%,1.890034%,0.5154639%,0.1718213%,0.1718213%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
239814914,RecursiveDivision,32x32,2.182961,15.46811%,114,737,0.6835938%,25.19531%,53.90625%,20.21484%,56.79443%,24.91289%,9.930314%,4.529617%,1.045296%,1.567944%,0.8710802%,0.174216%,0.174216%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
29507768,RecursiveDivision,32x32,3.504515,12.52747%,114,910,0.9765625%,25.78125%,51.85547%,21.38672%,57.09343%,25.25952%,9.342561%,4.152249%,1.730104%,1.557093%,0.3460208%,0.3460208%,0.1730104%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
